#wavelength pix
3946.10 916
4072.39 1096
4131.72 1181
4158.59 1219
4181.88 1253
4198.32 1277
4238.16 1319
4239.22 1332
4259.36 1363
4277.53 1390
4300.10 1421
4309.24 1435
4333.56 1468
4348.06 1491
4370.75 1523
4379.99 1538
4400.99 1566
4426.00 1602
4481.81 1682
4510.73 1723
4545.05 1771
4609.57 1863
4657.90 1932
4726.87 2032
4735.91 2045
4764.86 2089
4806.02 2146
4847.81 2204
4870.86 2251
4889.04 2262
4965.08 2370
5062.04 2509
