#wavelength pix
5558.70 115
5572.54 154
5606.73 259
5650.70 390
5739.52 652
5772.12 752
5802.08 841
5834.26 941
5860.31 1016
5912.09 1173
5928.81 1299
6032.13 1542
6043.22 1580
6059.37 1627
6296.87 2351
6307.64 2389
6384.72 2630
6416.31 2725
6677.28 3550
6752.83 3794
6871.29 4175
6965.43 4484
7030.25 4696
7067.22 4819
7147.04 5082
7272.94 5504
7383.98 5877
