#wavelength pix
5852.49 432
5881.90 520
5944.83 712
5975.53 805
6030.00 971
6096.16 1174
6143.06 1317
6163.59 1379
6217.28 1546
6266.49 1696
6304.79 1815
6334.43 1907
6506.53 2435
6532.88 2519
6598.95 2725
6678.28 2977
6717.04 3100
6929.47 3780
6965.43 3897
7024.05 4087
7032.41 4114
7173.94 4581
7245.17 4816
7272.94 4908
7383.98 5280
7438.90 5466
7472.44 5578
7488.87 5636
7503.87 5685
7514.65 5724
7535.77 5795
7544.04 5825
7635.11 6137
