#wavelength pix
6163.66 535
6198.26 642
6318.06 1007
6487.76 1531
6533.16 1674
6595.56 1868
6632.47 1982
6728.01 2274
6827.32 2588
6872.11 2733
6882.16 2765
6976.18 3063
7119.60 3527
7284.30 4066
7316.27 4168
7386.00 4401
7393.79 4428
7471.99 4690
7584.68 5067
7642.02 5260
7664.54 5339
7802.65 5814
7887.40 6107
