#wavelength pix
6595.56 586
6668.92 736
6728.01 858
6827.32 1062
6882.16 1175
6976.18 1369
7119.60 1665
7284.30 2009
7642.02 2749
7802.63 3090
7887.40 3269
7967.36 3440
8206.34 3953
8231.64 4006
8280.12 4113
8409.19 4395
8819.41 5296
8862.32 5392
8908.73 5497
8930.83 5547
8952.25 5593
9045.45 5803
9162.65 6068
