#wavelength pix
5852.49 716
5881.90 746
5944.83 812
5975.53 842
6030.00 898
6074.34 943
6096.16 968
6143.06 1015
6217.28 1091
6266.49 1143
6304.79 1181
6334.43 1212
6382.99 1262
6402.25 1282
6532.88 1419
6598.95 1487
6678.28 1569
6717.04 1612
6929.47 1836
6965.43 1872
7032.41 1944
7245.17 2173
7383.98 2321
7438.90 2382
7488.87 2435
7503.87 2451
7635.11 2595
8103.60 3112
8115.31 3126
