#wavelength pix
4500.98 98
4524.68 120
4582.75 179
4603.04 200
4624.28 221
4671.23 268
4697.02 294
4734.15 332
4807.02 403
4829.71 428
4843.29 441
5292.21 895
5339.33 945
5823.89 1439
5875.02 1491
5894.99 1513
6163.66 1790
6198.26 1833
6318.06 1954
6595.56 2243
6632.47 2283
6668.92 2319
6728.01 2383
6778.50 2435
6827.32 2489
6846.61 2512
6872.11 2537
6882.16 2550
6910.82 2577
6925.53 2593
6976.18 2648
7119.60 2805
7284.30 2982
