#wavelength pix
5421.35 121
5451.65 168
5495.87 234
5506.11 252
5558.70 329
5572.54 348
5606.73 402
5650.70 469
5739.52 605
5834.26 749
5860.31 789
5912.09 871
5928.81 896
5942.67 917
6043.22 1074
6059.37 1099
6145.44 1233
6296.87 1471
6307.66 1489
6369.57 1585
6384.72 1609
6416.31 1660
6677.28 2080
6752.83 2203
6871.29 2398
6965.43 2553
7030.25 2663
7067.22 2726
